YearsExperience,Salary
8.1,67526.14
19.1,128434.96
14.9,110138.17
12.4,101138.92
4.0,59308.68
4.0,45574.57
2.1,53491.51
17.5,124081.01
12.4,98029.06
14.5,103772.31
1.4,18306.08
19.4,143772.36
16.8,128294.75
5.0,55249.38
4.5,55285.93
4.5,58877.51
6.8,54899.63
11.0,86267.58
9.2,86954.12
6.5,55715.68
12.6,101648.46
3.7,39497.35
6.6,70031.44
8.0,73714.87
9.7,70428.95
15.9,126767.91
4.8,50523.27
10.8,82917.98
12.3,99254.55
1.9,49639.1
12.5,90623.43
4.2,53593.44
2.2,45530.53
19.0,140044.84
19.3,137561.53
16.4,117263.78
6.8,60779.28
2.9,46639.15
14.0,98422.89
9.4,58329.2
3.3,51642.48
10.4,94431.48
1.7,20446.54
18.3,122572.15
5.9,67403.23
13.6,121259.96
6.9,68116.35
10.9,84125.98
11.4,91236.83
4.5,65749.01
19.4,131532.29
15.7,109956.46
18.9,130088.05
18.0,121373.37
12.4,99181.36
18.5,144747.43
2.7,47434.63
4.7,53831.17
1.9,38115.51
7.2,57094.47
8.4,83264.88
6.2,63477.3
16.7,120406.16
7.8,98444.86
6.3,67040.02
11.3,86135.67
3.7,46939.14
16.2,128287.57
2.4,44106.16
19.8,127393.78
15.7,123703.83
4.8,51054.85
1.1,51036.38
16.5,129390.38
14.4,105621.42
14.9,122198.13
15.7,116892.84
2.4,50022.19
7.8,76777.86
3.2,40829.15
17.4,120551.6
12.8,108639.69
7.3,67471.8
2.2,38870.81
6.9,60309.02
7.2,72988.79
14.9,128450.2
13.1,93509.74
17.9,128643.76
10.0,96297.76
3.3,47512.87
14.6,113918.97
15.5,106750.85
11.7,97776.46
15.6,114302.85
10.4,95085.84
10.9,99449.09
9.1,100766.51
1.5,42887.07
3.0,49106.37
1.6,40355.07
13.1,99224.67
7.0,71207.87
10.7,86486.79
18.2,131447.69
5.7,71890.78
8.8,70347.66
15.4,123819.03
5.3,69686.92
2.5,42805.45
6.5,48775.16
4.1,47687.42
18.7,143225.96
16.4,120017.06
13.0,93505.58
17.6,122761.8
16.3,126374.96
4.5,59123.87
18.0,127088.54
11.2,88665.4
16.3,116515.93
18.0,121620.72
7.0,81423.01
3.1,44471.44
5.3,68887.27
9.1,92220.53
16.5,128736.49
17.4,122247.04
1.1,39279.84
10.7,88656.44
8.9,71720.39
5.2,61194.87
3.3,38717.68
7.4,80201.44
18.9,130233.06
7.1,70659.28
10.9,92216.3
14.4,107128.76
7.9,78143.55
19.5,133450.77
19.3,143120.38
5.8,51132.16
10.4,88211.04
6.7,82361.43
6.4,57197.35
1.7,33928.04
12.6,103411.26
10.6,89736.65
2.0,43805.04
6.3,68563.5
18.3,135727.77
5.6,69677.6
3.8,54178.55
10.3,84719.94
19.7,143730.59
5.6,75999.06
13.8,104838.93
15.5,107453.77
5.5,69106.65
14.8,110436.95
8.0,56618.64
13.0,108279.37
13.0,97217.37
11.2,90875.73
2.7,47505.84
16.9,124474.0
7.1,74725.61
